RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,P+R,P+A,P+R+A,VI,ORtg,DRtg,PpG_Per36,RpG_Per36,ApG_Per36,SpG_Per36,BpG_Per36,TOpG_Per36,FTA_Per36,2PA_Per36,3PA_Per36
,Luguentz Dort,Okc,*,G,26.0,71,29.2,13.6,7.9,46,0.717,180,0.489,413,0.412,0.578,0.586,14.3,11.7,15.9,5.5,120.1,103.3,12.5,5.1,2.0,1.4,0.6,0.9,0.8,3.1,7.2
,Daniel Gafford,Dal,*,F-C,26.5,57,21.5,19.5,14.1,196,0.689,403,0.702,0,0.0,0.702,0.716,19.1,13.7,20.5,9.1,137.4,105.3,20.6,11.4,2.3,0.7,3.0,2.0,5.8,11.8,0.0
,Quentin Grimes,Dal,,G,24.9,47,22.8,18.5,14.3,81,0.765,164,0.543,201,0.398,0.573,0.599,14.0,12.4,16.2,7.6,113.9,112.0,16.1,6.0,3.3,1.1,0.3,2.1,2.7,5.5,6.8
,Cameron Johnson,Bro,*,F,29.1,57,31.6,22.9,11.7,225,0.893,339,0.578,408,0.39,0.582,0.632,23.1,22.2,26.5,8.2,122.5,114.8,21.4,4.9,3.9,1.0,0.5,1.9,4.5,6.8,8.2
,Jordan Poole,Was,*,G,25.8,68,29.4,29.0,16.2,274,0.883,434,0.512,622,0.378,0.544,0.591,23.4,24.9,27.9,8.8,109.2,114.0,25.1,3.7,5.4,1.6,0.5,3.7,4.9,7.8,11.2
,Naz Reid,Min,*,C-F,25.6,80,27.5,21.5,10.5,143,0.776,461,0.544,462,0.379,0.556,0.577,20.2,16.5,22.5,8.4,114.6,104.9,18.6,7.9,3.0,0.9,1.2,1.8,2.3,7.5,7.6
,Dean Wade,Cle,*,F-C,28.4,59,21.2,10.4,7.5,30,0.533,49,0.653,222,0.36,0.561,0.563,9.6,6.7,10.9,5.8,122.6,106.8,9.2,7.1,2.2,1.2,0.5,0.7,0.9,1.4,6.4
,Javonte Green,Nor,,G,31.7,50,21.8,10.9,11.1,66,0.758,117,0.53,108,0.352,0.529,0.567,9.3,6.7,10.2,4.9,116.4,116.1,9.6,5.9,1.5,1.8,1.0,1.0,2.2,3.9,3.6
,Anthony Edwards,Min,*,G,23.7,79,36.3,31.4,13.4,496,0.837,801,0.501,811,0.395,0.547,0.595,33.3,32.1,37.8,9.8,114.8,109.7,27.4,5.7,4.5,1.2,0.6,3.2,6.2,10.1,10.2
,LaMelo Ball,Cha,*,G,23.6,47,32.0,35.9,14.3,229,0.843,475,0.478,528,0.339,0.494,0.536,30.1,32.6,37.5,12.1,108.5,109.2,28.4,5.5,8.3,1.2,0.3,4.0,5.5,11.4,12.6
,Deni Avdija,Por,*,F,24.3,72,30.0,23.2,18.8,372,0.78,502,0.552,342,0.365,0.55,0.605,24.2,20.8,28.1,10.4,115.7,108.7,20.3,8.8,4.7,1.2,0.6,3.2,6.2,8.4,5.7
,Onyeka Okongwu,Atl,*,F-C,24.3,74,27.9,17.3,11.6,216,0.759,536,0.634,148,0.324,0.602,0.634,22.3,15.6,24.5,9.3,128.5,108.2,17.3,11.5,3.0,1.2,1.2,1.5,3.8,9.3,2.6
,Tyrese Haliburton,Ind,*,G,25.1,73,33.6,21.6,10.7,222,0.851,444,0.581,562,0.388,0.582,0.616,22.2,27.8,31.4,10.0,130.4,115.6,19.9,3.7,9.9,1.5,0.8,1.7,3.3,6.5,8.2
,Devin Vassell,San,*,G-F,24.6,64,31.0,22.1,9.0,120,0.792,460,0.513,429,0.368,0.532,0.553,20.3,19.1,23.1,7.4,109.1,115.5,18.9,4.6,3.4,1.5,0.6,1.6,2.2,8.3,7.8
,Patrick Williams,Chi,*,F,23.6,63,25.0,16.9,14.3,83,0.723,244,0.447,272,0.353,0.49,0.512,12.7,11.0,14.7,6.5,99.5,114.7,13.0,5.5,2.9,1.2,0.7,2.0,1.9,5.6,6.2
,Precious Achiuwa,Nyk,*,F,25.6,57,20.5,14.9,12.1,69,0.594,291,0.529,36,0.278,0.517,0.53,12.2,7.6,13.2,6.5,111.5,108.4,11.6,9.8,1.8,1.4,1.2,1.4,2.1,9.0,1.1
,Aaron Nesmith,Ind,*,G-F,25.5,45,25.0,17.4,8.9,80,0.913,184,0.587,195,0.431,0.617,0.653,16.0,13.2,17.2,6.2,123.9,108.2,17.3,5.8,1.7,1.2,0.6,1.2,2.6,5.9,6.2
,Tyrese Maxey,Phi,*,G,24.4,52,37.7,29.8,10.2,289,0.879,613,0.515,478,0.337,0.511,0.562,29.7,32.4,35.8,8.6,114.3,116.8,25.1,3.2,5.8,1.7,0.4,2.3,5.3,11.3,8.8
,Josh Green,Cha,*,G,24.4,68,27.8,11.8,14.2,72,0.681,173,0.48,248,0.391,0.543,0.559,10.0,9.0,11.6,4.5,108.8,112.9,9.6,3.2,2.1,1.4,0.3,1.3,1.4,3.3,4.7
,Jaden McDaniels,Min,*,F,24.5,82,31.9,16.3,10.2,128,0.813,531,0.561,303,0.33,0.537,0.562,17.9,14.2,19.9,6.5,115.0,105.5,13.8,6.4,2.3,1.5,1.0,1.4,1.8,7.3,4.2
,Isaiah Joe,Okc,*,G,25.8,74,21.7,17.2,6.1,56,0.821,122,0.549,466,0.412,0.604,0.617,12.9,11.8,14.5,6.4,124.8,107.3,16.9,4.3,2.7,1.0,0.2,0.8,1.3,2.7,10.4
,Payton Pritchard,Bos,*,G,27.2,80,28.4,19.1,8.8,84,0.845,240,0.642,626,0.407,0.62,0.633,18.1,17.8,21.6,8.1,130.3,110.6,18.1,4.8,4.4,1.1,0.3,1.4,1.3,3.8,9.9
,Desmond Bane,Mem,*,G,26.8,69,32.0,23.3,14.2,198,0.894,600,0.548,418,0.392,0.565,0.6,25.3,24.6,30.6,10.7,118.6,109.2,21.6,6.9,6.0,1.3,0.4,2.7,3.2,9.8,6.8
,Jalen Green,Hou,*,G,23.2,82,32.9,27.3,12.4,336,0.813,776,0.482,661,0.354,0.505,0.544,25.6,24.5,29.0,8.4,109.9,110.7,23.0,5.0,3.7,1.0,0.3,2.7,4.5,10.4,8.8
,Jonathan Kuminga,Gol,*,F,22.5,47,24.3,27.3,11.1,235,0.668,417,0.508,151,0.305,0.495,0.535,19.9,17.5,22.1,8.8,107.9,107.5,22.7,6.8,3.3,1.2,0.6,2.2,7.4,13.1,4.8
,Naji Marshall,Dal,*,F,27.2,69,27.8,20.0,13.6,160,0.813,494,0.611,218,0.275,0.551,0.584,18.0,16.3,21.0,8.3,114.5,113.6,17.1,6.2,3.9,1.3,0.3,2.1,3.0,9.3,4.1
,Ayo Dosunmu,Chi,*,G,25.2,46,30.3,16.6,13.3,79,0.785,260,0.612,189,0.328,0.561,0.585,15.8,16.8,20.3,7.6,117.2,113.3,14.6,4.2,5.3,1.1,0.5,1.8,2.0,6.7,4.9
,Vit Krejci,Atl,*,G,24.8,57,20.2,12.9,14.6,45,0.711,86,0.64,206,0.437,0.651,0.661,10.0,9.8,12.5,7.3,126.1,111.3,12.8,4.8,4.6,1.1,0.9,1.6,1.4,2.7,6.4
,Brandon Boston Jr.,Nor,*,G,23.4,42,23.6,20.0,12.0,85,0.788,241,0.485,140,0.35,0.5,0.535,13.9,12.9,16.0,7.2,107.2,116.0,16.3,4.9,3.4,2.0,0.3,1.8,3.1,8.8,5.1
,Trey Murphy III,Nor,*,F,24.8,53,35.0,23.7,10.9,230,0.887,401,0.556,438,0.361,0.548,0.598,26.3,24.8,29.8,8.3,117.8,118.3,21.8,5.2,3.6,1.1,0.7,2.0,4.5,7.8,8.5
,Franz Wagner,Orl,*,F,23.6,60,33.7,31.0,10.6,311,0.871,809,0.535,352,0.295,0.507,0.558,29.9,28.9,34.6,10.3,112.9,105.9,25.9,6.1,5.0,1.4,0.4,2.5,5.5,14.4,6.3
,Ziaire Williams,Bro,*,F,23.6,63,24.5,18.2,11.4,123,0.821,218,0.509,302,0.341,0.511,0.55,14.6,11.4,15.9,6.4,108.6,108.3,14.7,6.8,1.9,1.5,0.6,1.6,2.9,5.1,7.0
,Ochai Agbaji,Tor,*,G,25.0,64,27.2,14.6,9.2,48,0.708,281,0.587,253,0.399,0.593,0.601,14.2,12.0,15.7,5.7,117.0,112.6,13.8,5.0,2.0,1.2,0.7,1.1,1.0,5.8,5.2
,Miles McBride,Nyk,*,G,24.6,64,24.9,16.8,7.0,64,0.813,235,0.455,312,0.369,0.511,0.531,12.1,12.5,15.0,6.6,117.2,112.0,13.7,3.6,4.2,1.4,0.4,0.9,1.4,5.3,7.0
,Moses Moody,Gol,*,G,22.9,74,22.3,17.4,8.7,133,0.797,231,0.519,337,0.374,0.544,0.578,12.3,11.1,13.6,5.8,116.2,110.0,15.8,4.2,2.1,1.3,0.6,1.1,2.9,5.0,7.4
,Justin Champagnie,Was,*,G-F,23.8,62,21.6,15.6,11.6,73,0.685,218,0.624,193,0.383,0.601,0.614,14.4,9.7,15.4,6.8,118.9,112.6,14.7,9.5,1.7,1.7,1.0,1.5,2.0,5.9,5.2
,Keon Johnson,Bro,*,G,23.1,79,24.4,21.7,13.0,139,0.77,378,0.468,401,0.314,0.47,0.499,14.4,12.8,16.6,7.3,99.7,107.5,15.6,5.6,3.2,1.5,0.6,2.2,2.6,7.1,7.5
,Corey Kispert,Was,*,F,26.1,61,26.3,17.5,10.2,88,0.852,235,0.574,330,0.364,0.558,0.584,14.5,13.2,16.2,5.9,112.1,119.7,15.9,4.1,2.3,0.5,0.3,1.4,2.0,5.3,7.4
,Davion Mitchell,Tor,,G,26.6,44,24.6,13.1,24.2,37,0.676,127,0.504,117,0.359,0.52,0.536,8.3,11.0,12.9,6.3,105.6,110.1,9.2,2.9,6.7,1.0,0.3,2.6,1.2,4.2,3.9
,Austin Reaves,Lal,*,G,26.9,73,34.9,23.7,14.6,366,0.877,506,0.547,531,0.377,0.556,0.616,24.7,26.0,30.5,9.3,121.5,112.6,20.8,4.6,6.0,1.1,0.3,2.5,5.2,7.1,7.5
,Scottie Barnes,Tor,*,F-G,23.7,65,32.8,27.0,14.8,302,0.755,783,0.508,280,0.271,0.482,0.523,27.0,25.1,32.8,11.6,106.9,111.5,21.2,8.5,6.4,1.5,1.1,3.1,5.1,13.2,4.7
,Trendon Watford,Bro,*,G-F,24.4,44,20.7,23.3,19.2,122,0.762,262,0.515,88,0.33,0.51,0.557,13.9,12.8,16.5,8.8,105.1,108.5,17.7,6.3,4.5,1.0,0.5,3.3,4.8,10.4,3.5
,Sam Hauser,Bos,*,F,27.3,71,21.7,14.3,4.6,11,1.0,75,0.64,399,0.416,0.627,0.632,11.7,9.4,12.6,5.4,127.9,109.5,14.1,5.3,1.5,1.0,0.3,0.5,0.3,1.8,9.3
,Julian Champagnie,San,*,F,23.8,82,23.6,17.2,10.0,94,0.904,185,0.53,480,0.371,0.549,0.577,13.8,11.3,15.2,6.4,112.6,115.1,15.1,5.9,2.1,1.1,0.6,1.4,1.7,3.4,8.9
,Alperen Sengun,Hou,*,C,22.7,76,31.5,26.2,14.5,428,0.692,1053,0.519,90,0.233,0.505,0.545,29.4,24.0,34.3,12.6,115.3,102.9,21.8,11.9,5.6,1.3,0.9,3.0,6.4,15.8,1.4
,Josh Giddey,Chi,*,G,22.5,70,30.2,21.7,20.2,224,0.781,520,0.512,278,0.378,0.531,0.57,22.7,21.8,29.9,12.6,115.2,111.5,17.4,9.7,8.6,1.4,0.7,3.5,3.8,8.9,4.7
,Santi Aldama,Mem,*,F-C,24.3,65,25.5,18.5,9.9,94,0.691,322,0.599,326,0.368,0.576,0.588,18.9,15.4,21.8,9.6,121.8,111.6,17.6,9.0,4.1,1.1,0.6,1.6,2.0,7.0,7.1
,Scotty Pippen Jr.,Mem,*,G,24.4,79,21.3,19.4,18.8,171,0.713,375,0.528,220,0.395,0.552,0.581,13.1,14.3,17.5,9.8,116.8,104.2,16.7,5.6,7.4,2.2,0.7,2.9,3.7,8.0,4.7
,Jalen Wilson,Bro,*,F,24.4,79,25.7,16.6,11.3,165,0.818,258,0.481,362,0.337,0.495,0.541,12.9,11.3,14.7,6.0,110.4,113.1,13.3,4.8,2.5,0.7,0.1,1.4,2.9,4.6,6.4
,Cade Cunningham,Det,*,G,23.6,70,35.0,33.2,17.5,370,0.846,1039,0.515,418,0.356,0.521,0.565,32.2,35.3,41.3,12.9,111.5,108.7,26.8,6.3,9.4,1.0,0.8,4.5,5.4,15.3,6.1
,Evan Mobley,Cle,*,C,23.8,71,30.5,23.2,13.8,305,0.725,676,0.621,230,0.37,0.604,0.633,27.8,21.7,31.0,10.7,123.6,106.5,21.8,11.0,3.8,1.1,1.9,2.4,5.1,11.2,3.8
,Aaron Wiggins,Okc,*,G,26.3,76,22.9,20.3,8.7,89,0.831,389,0.578,339,0.383,0.577,0.596,15.9,13.8,17.7,7.7,119.1,107.5,18.9,6.1,2.8,1.3,0.3,1.4,1.8,8.0,7.0
,Jose Alvarado,Nor,*,G,27.0,56,24.4,19.8,14.2,74,0.811,212,0.439,309,0.359,0.498,0.523,12.8,15.0,17.4,7.9,109.8,117.6,15.2,3.5,6.8,1.9,0.4,2.2,1.9,5.6,8.1
,Dyson Daniels,Atl,*,G,22.1,76,33.8,18.2,14.4,140,0.593,688,0.545,235,0.34,0.536,0.545,20.0,18.5,24.4,8.5,109.7,110.0,15.0,6.3,4.7,3.2,0.7,2.1,2.0,9.6,3.3
,Scoot Henderson,Por,*,G,21.2,66,26.7,22.5,20.5,206,0.767,388,0.469,297,0.354,0.496,0.54,15.7,17.8,20.8,8.7,107.0,109.4,17.1,4.0,6.9,1.3,0.3,3.6,4.2,7.9,6.1
,Paolo Banchero,Orl,*,F,22.4,46,34.4,33.6,13.0,385,0.727,639,0.509,272,0.32,0.5,0.551,33.4,30.7,38.2,11.4,109.2,106.8,27.1,7.8,5.0,0.8,0.6,3.1,8.8,14.5,6.2
,Jabari Smith Jr.,Hou,*,F,21.9,57,30.1,16.4,9.9,126,0.825,289,0.519,277,0.354,0.525,0.562,19.3,13.3,20.3,6.0,116.8,107.2,14.6,8.4,1.3,0.5,0.8,1.3,2.6,6.1,5.8
,Bennedict Mathurin,Ind,*,G-F,22.8,72,29.9,22.8,13.7,332,0.831,565,0.519,288,0.34,0.516,0.579,21.4,17.9,23.3,7.3,110.2,111.2,19.4,6.4,2.3,0.8,0.4,2.3,5.6,9.4,4.8
,Keegan Murray,Sac,*,F,24.7,76,34.3,15.0,6.8,72,0.833,371,0.566,449,0.343,0.538,0.553,19.1,13.8,20.5,5.7,116.2,112.7,13.0,7.0,1.5,0.8,0.9,0.8,1.0,5.1,6.2
,Shaedon Sharpe,Por,*,G,21.9,72,31.3,25.1,12.0,242,0.785,632,0.557,472,0.311,0.519,0.551,23.0,21.3,25.8,7.9,109.5,114.5,21.3,5.2,3.2,1.0,0.2,2.4,3.9,10.1,7.5
,Jalen Duren,Det,*,C,21.4,78,26.1,16.3,19.9,242,0.669,546,0.692,0,0.0,0.692,0.703,22.1,14.4,24.8,10.6,132.8,100.6,16.3,14.2,3.7,1.0,1.5,2.3,4.3,9.7,0.0
,Tari Eason,Hou,*,F,23.9,57,24.9,19.4,10.4,104,0.76,375,0.557,184,0.342,0.543,0.567,18.4,13.5,19.8,7.8,117.8,101.5,17.3,9.3,2.2,2.5,1.3,1.6,2.6,9.5,4.7
,Nikola Jovic,Mia,*,F,21.8,46,25.1,18.3,13.7,87,0.828,168,0.56,210,0.371,0.558,0.593,14.7,13.6,17.5,7.8,115.3,108.9,15.3,5.6,4.0,1.1,0.4,1.9,2.7,5.2,6.5
,Max Christie,Lal,,G,22.2,46,25.1,13.9,11.9,87,0.851,125,0.544,163,0.368,0.549,0.598,11.2,9.9,12.6,5.1,117.3,112.9,12.2,3.9,2.0,1.1,0.7,1.1,2.7,3.9,5.1
,Mark Williams,Cha,*,C,23.3,44,26.6,21.4,13.7,163,0.804,443,0.609,4,0.0,0.604,0.647,25.4,17.7,27.9,11.0,126.3,106.5,20.7,13.8,3.4,0.9,1.6,2.2,5.0,13.6,0.1
,Jeremy Sochan,San,*,F,21.9,54,25.3,18.9,15.0,125,0.696,377,0.592,92,0.304,0.565,0.589,17.9,13.8,20.3,8.9,116.4,109.8,16.2,9.2,3.4,1.1,0.7,2.1,3.3,9.9,2.4
,Jalen Williams,Okc,*,G-F,24.0,69,32.4,27.5,11.4,299,0.789,828,0.533,340,0.365,0.537,0.573,26.9,26.8,32.1,10.4,115.7,104.6,24.0,5.9,5.8,1.8,0.8,2.4,4.8,13.3,5.5
,Walker Kessler,Uta,*,C,23.7,58,30.0,13.7,17.0,152,0.52,385,0.706,35,0.171,0.669,0.658,23.2,12.7,24.9,8.2,128.1,112.8,13.3,14.6,2.0,0.7,2.9,1.8,3.1,8.0,0.7
,Julian Strawther,Den,*,G,23.0,65,21.3,17.9,10.5,90,0.822,217,0.535,269,0.349,0.529,0.559,11.2,10.3,12.5,5.5,108.7,109.6,15.2,3.7,2.2,1.0,0.3,1.5,2.3,5.6,7.0
,Christian Braun,Den,*,G,24.0,79,33.9,15.8,9.0,214,0.827,596,0.649,225,0.396,0.634,0.665,20.6,18.0,23.2,7.0,132.1,113.5,16.4,5.5,2.8,1.2,0.5,1.1,2.9,8.0,3.0
,Keon Ellis,Sac,*,G,25.3,80,24.4,12.7,13.3,86,0.849,143,0.615,321,0.433,0.639,0.664,11.0,9.8,12.5,5.3,125.2,109.7,12.2,4.0,2.2,2.2,1.2,1.3,1.6,2.6,5.9
,Jaime Jaquez Jr.,Mia,*,G,24.2,66,20.7,20.2,17.5,142,0.754,343,0.513,119,0.311,0.501,0.543,13.0,11.2,15.5,8.8,108.4,109.0,15.0,7.7,4.3,1.6,0.3,2.6,3.7,9.0,3.1
,Peyton Watson,Den,*,G,22.6,68,24.4,13.9,11.6,137,0.693,292,0.534,136,0.353,0.533,0.564,11.5,9.5,12.9,5.5,112.8,112.5,12.0,5.0,2.1,1.0,2.1,1.2,3.0,6.3,3.0
,Tyrese Martin,Bro,*,F,26.1,60,21.9,18.8,13.7,58,0.793,183,0.492,282,0.351,0.513,0.533,12.4,10.8,14.4,7.3,105.4,114.4,14.3,6.1,3.3,1.0,0.3,2.0,1.6,5.0,7.7
,Jake LaRavia,Mem,,F,23.4,47,20.9,14.5,22.2,96,0.698,151,0.517,90,0.444,0.573,0.605,11.7,10.1,14.5,8.6,118.2,107.3,12.6,7.6,4.8,1.6,0.7,2.6,3.5,5.5,3.3
,A.J. Green,Mil,*,G,25.5,73,22.7,12.6,8.6,27,0.815,61,0.443,363,0.427,0.612,0.621,9.8,8.9,11.3,5.3,119.4,108.3,11.7,3.8,2.4,0.8,0.2,0.8,0.6,1.3,7.9
,Victor Wembanyama,San,*,F-C,21.3,46,33.2,30.4,14.8,189,0.836,454,0.586,403,0.352,0.559,0.594,35.3,27.9,38.9,12.0,109.3,108.9,26.3,11.9,4.0,1.2,4.1,3.5,4.5,10.7,9.5
,Amen Thompson,Hou,*,G-F,22.2,69,32.3,17.4,16.5,247,0.684,606,0.599,91,0.275,0.575,0.602,22.2,17.9,26.1,9.4,121.3,105.2,15.7,9.1,4.2,1.6,1.4,2.2,4.0,9.8,1.5
,Ausar Thompson,Det,*,G-F,22.2,59,22.5,19.1,14.8,142,0.641,411,0.572,49,0.224,0.547,0.568,15.2,12.3,17.5,8.7,114.8,101.2,16.2,8.2,3.7,2.7,1.1,2.2,3.9,11.1,1.3
,Anthony Black,Orl,*,G,21.2,78,24.2,19.6,18.3,197,0.761,426,0.469,195,0.318,0.472,0.52,12.4,12.5,15.5,7.3,102.7,104.9,14.0,4.5,4.6,1.6,0.9,2.7,3.8,8.1,3.7
,Gradey Dick,Tor,*,G-F,21.4,54,29.4,21.0,11.4,155,0.858,321,0.47,326,0.35,0.498,0.543,18.0,16.2,19.8,6.2,106.5,112.7,17.6,4.4,2.2,1.1,0.2,1.8,3.5,7.3,7.4
,Cason Wallace,Okc,*,G,21.4,68,27.6,12.8,10.8,37,0.811,281,0.562,208,0.356,0.55,0.562,11.7,10.9,14.3,6.0,117.8,104.9,11.0,4.4,3.3,2.3,0.7,1.2,0.7,5.4,4.0
,Keyonte George,Uta,*,G,21.4,67,31.5,24.3,16.6,285,0.818,412,0.449,507,0.343,0.485,0.539,20.6,22.4,26.2,9.0,108.6,119.8,19.2,4.3,6.4,0.8,0.1,3.1,4.9,7.0,8.6
,Jordan Hawkins,Nor,*,G,23.0,56,23.6,21.0,9.4,98,0.816,224,0.433,332,0.331,0.471,0.504,13.6,12.0,14.8,5.6,100.6,121.8,16.5,4.3,1.8,0.8,0.6,1.5,2.7,6.1,9.0
,Brice Sensabaugh,Uta,*,F,21.5,71,20.2,21.5,15.1,73,0.89,227,0.52,372,0.422,0.59,0.612,13.8,12.4,15.4,7.2,110.7,116.1,19.4,5.3,2.7,1.1,0.2,2.7,1.8,5.7,9.3
,Noah Clowney,Bro,*,F-C,20.7,46,22.7,19.0,11.0,80,0.838,111,0.414,261,0.333,0.474,0.516,13.1,10.0,13.9,5.6,102.3,109.3,14.4,6.2,1.4,0.8,0.8,1.6,2.8,3.8,9.0
,Bilal Coulibaly,Was,*,G,20.7,59,33.0,17.9,16.7,185,0.746,400,0.5,224,0.281,0.472,0.515,17.3,15.7,20.7,7.2,102.6,116.8,13.4,5.5,3.7,1.4,0.8,2.3,3.4,7.4,4.1
,Nick Smith Jr.,Cha,*,G,21.0,60,22.8,20.8,12.6,46,0.935,262,0.45,306,0.34,0.482,0.502,12.0,12.3,14.4,6.5,99.9,117.2,15.6,3.3,3.8,0.5,0.2,2.2,1.2,6.9,8.1
,Toumani Camara,Por,*,F,24.9,78,32.7,14.4,13.3,126,0.722,356,0.542,360,0.375,0.552,0.572,17.1,13.6,19.3,6.4,116.3,109.5,12.4,6.4,2.4,1.7,0.7,1.5,1.8,5.0,5.1
,Zach Edey,Mem,*,C,22.9,66,21.5,16.4,16.9,127,0.709,381,0.612,52,0.346,0.6,0.624,17.5,10.2,18.5,7.9,122.7,101.9,15.4,13.9,1.7,0.8,2.2,2.2,3.2,9.7,1.3
,Brandin Podziemski,Gol,*,G,22.1,64,26.8,18.3,10.6,95,0.758,320,0.516,309,0.372,0.537,0.557,16.8,15.1,20.2,8.8,116.1,109.3,15.7,6.9,4.6,1.5,0.3,1.6,2.0,6.7,6.5
,Tristan da Silva,Orl,*,F,23.9,74,22.0,15.2,10.4,63,0.873,244,0.488,239,0.335,0.495,0.522,10.5,8.7,12.0,6.0,109.2,109.7,11.8,5.4,2.5,0.7,0.3,1.3,1.4,5.4,5.3
,Zaccharie Risacher,Atl,*,F,20.0,75,24.6,20.9,10.5,149,0.711,436,0.539,344,0.355,0.536,0.557,16.1,13.8,17.4,6.2,108.0,113.0,18.4,5.3,1.8,1.0,0.7,1.8,2.9,8.5,6.7
,Alexandre Sarr,Was,*,C,20.0,67,27.1,23.5,12.1,165,0.679,487,0.454,341,0.308,0.457,0.482,19.5,15.4,21.9,8.7,98.7,114.2,17.3,8.6,3.2,0.9,2.0,2.3,3.3,9.7,6.8
,Cody Williams,Uta,*,F,20.4,50,21.2,12.5,14.6,40,0.725,122,0.393,135,0.259,0.391,0.419,6.9,5.8,8.0,4.4,88.7,116.4,7.8,3.9,2.0,0.8,0.5,1.5,1.4,4.1,4.6
,Stephon Castle,San,*,G,20.4,81,26.7,26.0,15.2,344,0.724,655,0.501,333,0.285,0.476,0.522,18.4,18.8,22.5,9.1,105.5,114.2,19.8,5.0,5.5,1.2,0.4,3.0,5.7,10.9,5.5
,Ja'Kobe Walter,Tor,*,G,20.6,52,21.2,18.2,11.3,83,0.795,207,0.454,186,0.349,0.487,0.523,11.7,10.2,13.3,6.6,107.4,111.1,14.6,5.3,2.7,1.4,0.3,1.7,2.7,6.8,6.1
,Carlton Carrington,Was,*,G,19.7,82,30.0,15.8,15.9,85,0.812,341,0.475,407,0.339,0.493,0.514,14.0,14.3,18.4,7.5,103.8,116.4,11.8,5.0,5.3,0.8,0.4,2.0,1.2,5.0,6.0
,Isaiah Collier,Uta,*,G,20.5,71,25.9,18.8,27.3,154,0.682,386,0.497,169,0.249,0.459,0.494,12.0,14.9,18.3,8.7,99.4,115.7,12.1,4.6,8.8,1.3,0.3,4.0,3.0,7.6,3.3
,Kyle Filipowski,Uta,*,C,21.4,72,21.1,18.7,16.4,143,0.65,298,0.614,220,0.35,0.576,0.594,15.7,11.5,17.6,9.1,114.2,109.3,16.4,10.4,3.2,1.2,0.5,2.4,3.4,7.1,5.2
,Kyshawn George,Was,*,F,21.3,68,26.5,15.9,15.1,93,0.753,192,0.464,354,0.322,0.476,0.503,12.9,11.2,15.4,6.8,99.7,111.5,11.8,5.7,3.4,1.4,1.0,1.9,1.9,3.8,7.1
,Yves Missi,Nor,*,C,20.9,73,26.8,14.3,14.3,204,0.623,490,0.549,1,0.0,0.548,0.573,17.3,10.5,18.7,7.0,119.4,115.5,12.2,11.0,1.9,0.7,1.7,1.5,3.8,9.0,0.0
,Tidjane Salaun,Cha,*,F,19.7,60,20.7,15.2,14.4,94,0.713,140,0.4,205,0.283,0.414,0.457,10.6,7.1,11.8,6.2,96.9,112.7,10.3,8.2,2.1,0.9,0.3,1.7,2.7,4.1,5.9
,Kel'el Ware,Mia,*,C,21.0,64,22.2,17.2,10.9,67,0.687,353,0.629,111,0.315,0.592,0.603,16.7,10.2,17.6,7.1,117.8,104.8,15.1,12.0,1.5,1.0,1.8,1.5,1.7,8.9,2.8
,Justin Edwards,Phi,*,F,21.3,44,26.3,16.8,11.5,46,0.696,188,0.548,190,0.363,0.546,0.559,13.5,11.7,15.0,5.8,109.3,114.1,13.8,4.7,2.2,1.4,0.5,1.5,1.4,5.8,5.9
,Jonathan Mogbo,Tor,*,F,23.5,63,20.4,15.0,16.4,82,0.732,286,0.486,70,0.243,0.462,0.496,11.1,8.5,13.4,8.1,107.0,106.4,10.9,8.6,4.1,1.6,0.9,1.9,2.3,8.0,2.0
,Jaylen Wells,Mem,*,F,21.6,79,25.9,15.9,9.3,135,0.822,284,0.525,391,0.353,0.527,0.56,13.8,12.1,15.5,6.0,116.8,112.6,14.5,4.7,2.4,0.8,0.1,1.3,2.4,5.0,6.9
